,Unnamed: 0,date,stock,score1,score2,pred_rate,name
350,1464,61,2024-01-16,191.16466,191.20561,0.0,农 产 品
351,500,600657,2024-01-16,43.089924,43.099148,0.0,信达地产
352,1376,603915,2024-01-16,24.52766,24.532902,0.0,国茂股份
353,55,600079,2024-01-16,462.08548,462.18387,0.0,人福医药
354,3325,300619,2024-01-16,55.35981,55.37159,0.0,金银河
355,2088,2249,2024-01-16,67.48966,67.50401,0.0,大洋电机
356,2304,2478,2024-01-16,14.815495,14.818643,0.0,常宝股份
357,2271,2439,2024-01-16,220.80096,220.84787,0.0,启明星辰
358,1551,547,2024-01-16,122.51158,122.53753,0.0,航天发展
359,574,600743,2024-01-16,52.808037,52.819187,0.0,华远地产
360,2720,2939,2024-01-16,8.896429,8.8983,0.0,长城证券
361,1465,62,2024-01-16,82.96458,82.98199,0.0,深圳华强
362,741,600987,2024-01-16,48.69889,48.709106,0.0,航民股份
363,1193,603559,2024-01-16,12.794698,12.797377,0.0,中通国脉
364,2267,2435,2024-01-16,19.461533,19.465578,0.0,长江健康
365,2961,300231,2024-01-16,114.096214,114.11991,0.0,银信科技
366,993,603068,2024-01-16,30.963955,30.970371,0.0,博通集成
367,2524,2717,2024-01-16,43.149582,43.158512,0.0,岭南股份
368,910,601886,2024-01-16,17.311697,17.315277,0.0,江河集团
369,2699,2916,2024-01-16,127.324,127.35021,0.0,深南电路
370,369,600500,2024-01-16,36.1671,36.17451,0.0,中化国际
371,3192,300477,2024-01-16,25.807215,25.812496,0.0,合纵科技
372,1530,520,2024-01-16,20.306297,20.310448,0.0,长航凤凰
373,1701,785,2024-01-16,16.442772,16.446125,0.0,居然之家
374,1610,632,2024-01-16,43.235695,43.2445,0.0,三木集团
375,3280,300571,2024-01-16,118.180305,118.20421,0.0,平治信息
376,1759,881,2024-01-16,26.980577,26.986034,0.0,中广核技
377,2700,2917,2024-01-16,24.86183,24.866858,0.0,金奥博
378,626,600809,2024-01-16,952.5446,952.7368,0.0,山西汾酒
379,3218,300504,2024-01-16,19.803923,19.807903,0.0,天邑股份
380,95,600129,2024-01-16,120.603165,120.62738,0.0,太极集团
381,2917,300182,2024-01-16,172.99614,173.03082,0.0,捷成股份
382,2599,2805,2024-01-16,33.236973,33.243614,0.0,丰元股份
383,2719,2938,2024-01-16,24.104929,24.109732,0.0,鹏鼎控股
384,3342,300636,2024-01-16,43.872143,43.880875,0.0,同和药业
385,1163,603456,2024-01-16,98.10505,98.12449,0.0,九洲药业
386,3016,300288,2024-01-16,107.818954,107.84026,0.0,朗玛信息
